number ,AphidMummy,field,plot ,tube ,fertilization,parasitoid,endosymbiont,Mdir,Save,Rpad,Hden,Rins,EPpla,APrho,APuzb,APerv,APave,PRvol,PRgal,AEabd,ALvic,ASsus,ASvul,COcla,PHvil,DEcar
3890,mum,L,1,1,no,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3930,aph,L,6,1,yes,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3931,aph,L,6,1,yes,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3940,mum,L,6,1,yes,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4074,aph,L,3,1,no,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4080,mum,L,3,1,no,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4083,mum,L,3,1,no,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4086,mum,L,3,1,no,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4184,aph,L,5,1,no,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4187,aph,L,5,1,no,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4189,aph,L,5,1,no,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4215,aph,L,5,1,no,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4228,aph,L,5,1,no,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4270,mum,L,5,1,no,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4282,mum,L,5,1,no,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4284,mum,L,5,1,no,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4285,mum,L,5,1,no,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4287,mum,L,5,1,no,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4297,mum,L,2,1,yes,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4328,mum,L,6,1,yes,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4331,mum,L,6,1,yes,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4333,mum,L,6,1,yes,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4345,mum,L,4,1,yes,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4346,mum,L,4,1,yes,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4347,mum,L,4,1,yes,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
